1;PHYSICAL EFFECTS ON FROM THE PROPERTIES ARE PATIENTS MUCUS OF CALCIUM CF WHAT
2;BETWEEN ONE INFECTION CAN TRACT GLANDS EFFECTS ON THE HYPERSECRETION CF AND IN MUCUS OF RESPIRATORY DISTINGUISH SUBMUCOSAL
3;GLYCOPROTEINS NORMAL HOW SUBJECTS ARE SALIVARY PATIENTS DIFFERENT THOSE OF FROM CF
4;THE LIPID COMPOSITION CF SECRETIONS OF RESPIRATORY IS WHAT
5;ABNORMAL MUCUS IS CF
6;PHYSICAL VISCOSITY AGENTS ON THE WATER THERAPEUTIC EFFECT PROPERTIES ELASTICITY BRONCHIAL SPUTUM SECRETIONS OR CF PATIENTS OF FROM OTHER IS WHAT
7;GLYCOPROTEINS DIFFERENTLY NORMAL SUBJECTS COMPARED TO ARE PATIENTS IN THOSE MUCUS FROM AS DEGRADED CF
8;BETWEEN DESCRIBED NORMAL BEEN WHAT AND RESPIRATORY EPITHELIA DIFFERENCES HAVE CF HISTOCHEMICAL
9;BETWEEN CIRRHOSIS VITAMIN THE LIVER CF AND METABOLISM ASSOCIATION DISEASE IN IS WHAT
10;VITAMIN THERAPY THE ROLE CF PATIENTS IN OF IS WITH WHAT
11;BETWEEN MECONIUM DIFFERENCE THE PLUG AND SYNDROME ILEUS IS WHAT
12;AMINO DESCRIBED BEEN BOWEL TRANSPORT THE ABNORMALITIES PATIENTS SMALL IN OF ACID CF HAVE WHAT
13;PANCREATITIS THE OF ARE PATIENTS BIOCHEMICAL OR IN FEATURES CLINICAL CF WHAT
14;TESTS FUNCTION CAN PERFORMED FOR THE NON-INVASIVE PATIENTS PANCREATIC BE IN WITH OF EXOCRINE CF EVALUATION WHAT
15;HEPATIC THE ARE COMPLICATIONS OR OF MANIFESTATIONS CF WHAT
16;AFTER MECONIUM ILEUS THE PERIOD ARE GASTROINTESTINAL COMPLICATIONS NEONATAL LIVER AND DISEASE OF EXCLUDE CF WHAT
17;USE FOR THE REGIMEN SUPPLEMENTS CF MOST PANCREATIC PATIENTS EFFECTIVE IN TREATMENT OF ENZYME IS WHAT
18;SUPPLEMENTATION SALTS TO THERAPEUTIC CF PATIENTS BILE DIETARY OF BENEFIT IS WITH
19;BEEN THERAPY COMPLICATIONS REPORTED PATIENTS PANCREATIC IN OF HAVE ENZYME CF WHAT
20;ESSENTIAL WHAT SUPPLEMENTS THE FATTY EFFECT CF PATIENTS OF ACID IS WITH TREATMENT
21;METABOLIZE IRON AFFECT ABILITY ABSORB TO PATIENTS PANCREATIC THEIR IN OR INSUFFICIENCY CF DOES
22;IS THE NON-CAUCASIAN IN POPULATIONS OF FREQUENCY CF WHAT
23;BEEN DISEASES HEREDITARY CONGENITAL CONDITIONS OR IN ASSOCIATION HAVE FOUND CF WITH WHAT
24;CHARACTERISTICS IS MANIFESTED THE ARE WHOM PATIENTS IN INCOMPLETELY OF CF WHAT
25;THAT ONE IS GENETIC WHAT FOR THE INVOLVES GENE CF BASIS THAN MORE THERE EVIDENCE
26;ADVANTAGE THE CF IN HETEROZYGOTE IS WHAT
27;BOTH WHAT THE SIBLING WHOM CF BIOCHEMICAL OR IN CONCORDANCE OF MANIFESTATIONS PAIRS IS HAVE CLINICAL
28;THE MALE CF IN FERTILITY OF INCIDENCE IS WHAT
29;FEMALE SYSTEM THE MALE CF OR PATHOLOGY IN REPRODUCTIVE OF IS WHAT
30;COUNSELING FAMILIES CHILDREN GENETIC THE ARE OF RESULTS CF WITH WHAT
31;FAMILIES EFFECTS ON THE ARE MAJOR PATIENTS AND THEIR OR SOCIAL OF PSYCHOLOGICAL CF WHAT
32;COMPLIANCE WHAT THERAPY PATIENTS FACTORS PRESCRIBED IN CF INFLUENCE WITH
33;TESTS ERRONEOUS LEAD SWEAT TO CONDITIONS FACTORS OR WHAT
34;ARE AVAILABLE THEIR OTHER WHAT RELATIVE ADVANTAGES TEST TECHNIQUES ANALYSIS TITRIMETRIC PILOCARPINE CHLORIDE IONTOPHORESIS CLASSICAL THE DISADVANTAGES ALTERNATIVE GIBSON-COOKE AND OF QUANTITATIVE WITH FOR SWEAT THAN TESTING
35;TESTS NORMAL BEEN ANY SWEAT TO CF PATIENT CONSISTENTLY HAVE FOUND HAS
36;POTASSIUM THE SWEAT CF PATIENTS IN OF FROM CONCENTRATION IS WHAT
37;TESTS ERRONEOUS NEWBORN THESE INFANTS CONTRIBUTE FOR TO ARE CF AVAILABLE AND TECHNIQUES FACTORS OF RESULTS SCREENING WHAT
38;PRENATALLY CAN DIAGNOSED CF BE
39;HOW FOR IDENTIFIED MAY BE HETEROZYGOTES CF
40;SWEAT THE TEST PERIOD FOR BEYOND NEONATAL DIAGNOSIS MAY TECHNIQUES BE CF THAN OF OTHER USEFUL WHAT
41;NORMAL VITAMIN CF PATIENTS METABOLISM IN IS
42;ABNORMALITIES INSULIN PATIENTS OR METABOLISM OCCUR IN OF SECRETION CF WHAT
43;AND/OR CHLORIDE TRANSPORT/PERMEABILITY CF SODIUM ABNORMAL IN SALT IS
44;BETWEEN NON-CF STRUCTURAL FIBROBLASTS ARE CF PATIENTS AND OR ENZYMATIC FROM DIFFERENCES THERE WHAT
45;DESCRIBED BEEN PROSTAGLANDIN ABNORMALITIES PATIENTS METABOLISM IN OF HAVE CF WHAT
46;ENZYMES THE PROPERTIES ARE GALACTOSYLTRANSFERASE AND ACTIVITY PATIENTS OF FROM CF WHAT
47;BETWEEN SUBJECTS NORMAL DESCRIBED BEEN FUNCTION HORMONES THE OF AND PATIENTS IN OR METABOLISM DIFFERENCES HAVE CF WHAT
48;NORMAL DO FIBROBLASTS GROW PATIENTS AT FROM RATE CF
49;NORMAL RNA METHYLATION CF PATIENTS METABOLISM OR IN IS POLYAMINE
50;DESCRIBED BEEN THE DEFECTS CF PATIENTS IN OR METABOLISM CYCLIC NUCLEOTIDES OF HAVE SYNTHESIS WHAT
51;DESCRIBED PATHOGENETIC PLAY ROLE ARE FIBROSIS SOME WHAT BIOLOGICALLY `` THOUGHT FACTORS OR IN CF SECRETED CIRCULATING ACTIVE TO CYSTIC HAVE '' UNIDENTIFIED MOLECULES BEEN PATIENTS
52;ABOUT PROLACTIN KNOWN CF PATIENTS IN IS WHAT
53;INFECTION COLONIZATION SECRETORY IGA PATIENTS PROTECT OR AGAINST BACTERIAL CF DOES
54;HYPERSENSITIVITY ALLERGY THE TO RELATIONSHIP CF PATIENTS OR DISEASE IN OF IS LUNG WHAT
55;BETWEEN ORIGIN INTERACTIONS LUNGS ENDOGENOUS THE ARE ANTIPROTEASES AND PROTEASES PATIENTS OR IN OF BACTERIAL CF WHAT
56;BETWEEN DEFENSES INFECTION WHAT THE RELATIONSHIP CF AND PATIENTS PULMONARY IN AGAINST HOST BACTERIAL IS NUTRITION
57;AERUGINOSA CIRCULATING WHAT PSEUDOMONAS THE ROLE TO CF PATIENTS IN ANTIBODIES OF IS PATHOPHYSIOLOGIC
58;INFECTION TO THE RESPONSE CF PATIENTS PULMONARY IN IMMUNOLOGIC IS WHAT
59;BEEN ABNORMALITIES PATIENTS IN IMMUNOLOGIC HAVE FOUND CF WHAT
60;CIRCULATION EFFECTS ON THE ARE PULMONARY OF CF WHAT
61;MUCOCILIARY IS TRACT TRANSPORT THE CF DEFECT PATIENTS IN CLEARANCE OF RESPIRATORY THERE
62;THE OF ARE PATIENTS IN DISEASE FEATURES CLINICAL CF LUNG WHAT
63;CHARACTERISTICS WHAT THE INFLAMMATION ARE PATIENTS BIOCHEMICAL OR IN OF AIRWAY CF MICROSCOPIC
64;GREATER FUNCTION HOW CF PATIENTS IN CHANGE THAN PERIODS TIME DAY DOES LUNG WITH
65;FUNCTION THE ARE ABNORMALITIES CF PATIENTS IN OF PULMONARY WHAT
66;THE ARE PATIENTS PATHOLOGIC IN DISEASE FEATURES OF CF LUNG WHAT
67;WHO EPISODE AN FOR THE PATIENTS RESPIRATORY FAILURE OF HAVE HAD IS PROGNOSIS WHAT
68;EFFECTS THE ARE PATIENTS IN OF BRONCHODILATORS CF WHAT
69;PNEUMOTHORAX THE TO CF PATIENTS IN TREAT BEST WAY IS WHAT
70;WHAT FOR THE CF AND PATIENTS HEMOPTYSIS IN OF IS PROGNOSIS TREATMENT
71;INFANTS FOR THE CYSTIC WHEEZING AND FIBROSIS WITH IS PROGNOSIS WHAT
72;WHAT FOR THE NASAL CF PATIENTS IN BEST IS POLYPS TREATMENT
73;HOW LAVAGE BRONCHIAL CF PATIENTS IN EFFECTIVE IS
74;THE ARE VENTILATION PATIENTS FAILURE MECHANICAL IN OF RESPIRATORY RESULTS CF WITH WHAT
75;AND/OR HYPERTENSION PULMONALE WHAT FOR THE CF PATIENTS PULMONARY COR IN BEST IS TREATMENT
76;FUNCTION EFFECTS ON THE ARE PATIENTS EXERCISE PROGRAMS IN TRAINING OF CF LUNG WHAT
77;PROMOTING LUNGS THE ARE PATIENTS TECHNIQUES IN EFFECTIVE MUCUS CLEARANCE OF FROM CF WHAT
78;CONSIDERATIONS ANTIBIOTICS ARE PECULIAR IE OTHER WHAT DIFFERENT IN OR PHARMACODYNAMICS CF THE TO PROBLEMS OF THERE TREATMENT WITH SPECIAL FOR PATIENTS
79;ANTIBIOTICS ORALLY THE ROLE CF PATIENTS IN TREATMENT ADMINISTERED OF IS WHAT
80;THAT ALONE WHAT THERAPY THE COMBINATION PENICILLINS SEMISYNTHETIC AND EFFECTIVE EITHER AMINOGLYCOSIDES THAN MORE IS WITH EVIDENCE
81;INHALATIONS HOW AGENTS THE ARE PATIENTS EFFECTIVE IN OF CF MUCOLYTIC TREATMENT
82;AEROSOLS THE ROLE CF PATIENTS IN DISEASE TREATMENT OF IS LUNG WHAT
83;ALVEOLAR PHAGOCYTOSIS THE ROLE POLYMORPHONUCLEAR BY CF PATIENTS OR LEUKOCYTES IN DISEASE MACROPHAGES OF BACTERIAL IS LUNG WHAT
84;BETWEEN AERUGINOSA PSEUDOMONAS THE HAEMOPHILUS RELATIONSHIP CF AND PATIENTS IN IS INFLUENZAE WHAT
